"","X","contest","candidate_count","year","contested","choice","party","district"
"304",92,"NC HOUSE (32)",3,2002,"Yes","Jim Crawford","DEM",32
"305",93,"NC HOUSE (33)",3,2002,"Yes","Jesse Halliday","LIB",33
"306",94,"NC HOUSE (33)",3,2002,"Yes","Bernard Allen","DEM",33
"307",95,"NC HOUSE (33)",3,2002,"Yes","Venita Peyton","REP",33
"308",96,"NC HOUSE (34)",3,2002,"Yes","Victor Marks","LIB",34
"309",97,"NC HOUSE (34)",3,2002,"Yes","Don Munford","REP",34
"310",98,"NC HOUSE (34)",3,2002,"Yes","Cynthia Barnett","DEM",34
"311",99,"NC HOUSE (35)",3,2002,"Yes","Darryl Black","REP",35
"312",100,"NC HOUSE (35)",3,2002,"Yes","Linda Ellis","LIB",35
"313",101,"NC HOUSE (35)",3,2002,"Yes","Jennifer Weiss","DEM",35
"314",102,"NC HOUSE (36)",2,2002,"Yes","Gregory A. Clayton","LIB",36
"315",103,"NC HOUSE (36)",2,2002,"Yes","David Miner","REP",36
"316",104,"NC HOUSE (37)",3,2002,"Yes","Paul Stam","REP",37
"317",105,"NC HOUSE (37)",3,2002,"Yes","J. C. Knowles","DEM",37
"318",106,"NC HOUSE (37)",3,2002,"Yes","Brad Wheeler","LIB",37
"319",107,"NC HOUSE (38)",2,2002,"Yes","Casey Gardner","LIB",38
"320",108,"NC HOUSE (38)",2,2002,"Yes","Deborah Ross","DEM",38
"321",109,"NC HOUSE (39)",3,2002,"Yes","J. Sam Ellis","REP",39
"322",110,"NC HOUSE (39)",3,2002,"Yes","H. Wade Minter","LIB",39
"323",111,"NC HOUSE (39)",3,2002,"Yes","Darren Jackson","DEM",39
"324",112,"NC HOUSE (4)",2,2002,"Yes","John Wobbleton","REP",4
"325",113,"NC HOUSE (4)",2,2002,"Yes","Charles Johnson","DEM",4
"326",114,"NC HOUSE (40)",2,2002,"Yes","Scott Quint","LIB",40
"327",115,"NC HOUSE (40)",2,2002,"Yes","Rick Eddins","REP",40
"328",116,"NC HOUSE (41)",2,2002,"Yes","Mia Morris","REP",41
"329",117,"NC HOUSE (41)",2,2002,"Yes","Margaret Highsmith Dickson","DEM",41
"330",118,"NC HOUSE (42)",1,2002,"No","Marvin W. Lucas","DEM",42
"331",119,"NC HOUSE (43)",1,2002,"No","Mary E. McAllister","DEM",43
"332",120,"NC HOUSE (44)",2,2002,"Yes","Rick Glazier","DEM",44
"333",121,"NC HOUSE (44)",2,2002,"Yes","Michael (Mike) Stone","REP",44
"334",122,"NC HOUSE (45)",2,2002,"Yes","Robert T. Lawrence","REP",45
"335",123,"NC HOUSE (45)",2,2002,"Yes","Alex Warner","DEM",45
"336",124,"NC HOUSE (46)",2,2002,"Yes","Douglas Y. Yongue","DEM",46
"337",125,"NC HOUSE (46)",2,2002,"Yes","C. Linwood Faulk","REP",46
"338",126,"NC HOUSE (47)",2,2002,"Yes","Ronnie Sutton","DEM",47
"339",127,"NC HOUSE (47)",2,2002,"Yes","Christopher Lowry","REP",47
"340",128,"NC HOUSE (48)",1,2002,"No","Donald A. Bonner","DEM",48
"341",129,"NC HOUSE (49)",3,2002,"Yes","Lucy T. Allen","DEM",49
"342",130,"NC HOUSE (49)",3,2002,"Yes","Renee McCormick","REP",49
"343",131,"NC HOUSE (49)",3,2002,"Yes","Gregg Adelman","LIB",49
"344",132,"NC HOUSE (5)",2,2002,"Yes","Larry Cooke","LIB",5
"345",133,"NC HOUSE (5)",2,2002,"Yes","Howard Hunter, Jr.","DEM",5
"346",134,"NC HOUSE (50)",2,2002,"Yes","Lee Griffin","LIB",50
"347",135,"NC HOUSE (50)",2,2002,"Yes","J. Russell Capps","REP",50
"348",136,"NC HOUSE (51)",3,2002,"Yes","John Sauls","REP",51
"349",137,"NC HOUSE (51)",3,2002,"Yes","Mark Jackson","LIB",51
"350",138,"NC HOUSE (51)",3,2002,"Yes","Leslie Cox","DEM",51
"351",139,"NC HOUSE (52)",2,2002,"Yes","Richard T. Morgan","REP",52
"352",140,"NC HOUSE (52)",2,2002,"Yes","Todd Unkefer","LIB",52
"353",141,"NC HOUSE (53)",2,2002,"Yes","David Lewis","REP",53
"354",142,"NC HOUSE (53)",2,2002,"Yes","Larry C. Upchurch","DEM",53
"355",143,"NC HOUSE (54)",2,2002,"Yes","Frederick Blackburn","LIB",54
"356",144,"NC HOUSE (54)",2,2002,"Yes","Joe Hackney","DEM",54
"357",145,"NC HOUSE (55)",2,2002,"Yes","Kathy Hartkopf","REP",55
"358",146,"NC HOUSE (55)",2,2002,"Yes","Gordon P. Allen","DEM",55
"359",147,"NC HOUSE (56)",2,2002,"Yes","Will Shooter","LIB",56
"360",148,"NC HOUSE (56)",2,2002,"Yes","Verla Insko","DEM",56
"361",149,"NC HOUSE (57)",2,2002,"Yes","Joanne W. Bowie","REP",57
"362",150,"NC HOUSE (57)",2,2002,"Yes","Walter Sperko","LIB",57
"363",151,"NC HOUSE (58)",2,2002,"Yes","Alma Adams","DEM",58
"364",152,"NC HOUSE (58)",2,2002,"Yes","David Williams","LIB",58
"365",153,"NC HOUSE (59)",3,2002,"Yes","Maggie Jeffus","DEM",59
"366",154,"NC HOUSE (59)",3,2002,"Yes","Allison Jaynes","LIB",59
"367",155,"NC HOUSE (59)",3,2002,"Yes","Alan Hawkes","REP",59
"368",156,"NC HOUSE (6)",2,2002,"Yes","Hood Richardson","REP",6
"369",157,"NC HOUSE (6)",2,2002,"Yes","Arthur Williams","DEM",6
"370",158,"NC HOUSE (60)",2,2002,"Yes","Earl Jones","DEM",60
"371",159,"NC HOUSE (60)",2,2002,"Yes","Dan Groome","LIB",60
"372",160,"NC HOUSE (61)",2,2002,"Yes","Jennifer Schulz Medlock","LIB",61
"373",161,"NC HOUSE (61)",2,2002,"Yes","Steve Wood","REP",61
"374",162,"NC HOUSE (62)",2,2002,"Yes","Flossie Boyd-McIntyre","DEM",62
"375",163,"NC HOUSE (62)",2,2002,"Yes","John M. Blust","REP",62
"376",164,"NC HOUSE (63)",2,2002,"Yes","Robert E. (Rob) Sharpe, Jr.","REP",63
"377",165,"NC HOUSE (63)",2,2002,"Yes","Alice Bordsen","DEM",63
"378",166,"NC HOUSE (64)",1,2002,"No","Cary D. Allred","REP",64
"379",167,"NC HOUSE (65)",1,2002,"No","Nelson Cole","DEM",65
"380",168,"NC HOUSE (66)",1,2002,"No","Wayne Sexton","REP",66
"381",169,"NC HOUSE (67)",2,2002,"Yes","Arlie F. Culp","REP",67
"382",170,"NC HOUSE (67)",2,2002,"Yes","Mary Tate Blake","DEM",67
"383",171,"NC HOUSE (68)",3,2002,"Yes","George E. Crump, III","REP",68
"384",172,"NC HOUSE (68)",3,2002,"Yes","Wayne Goodwin","DEM",68
"385",173,"NC HOUSE (68)",3,2002,"Yes","David Muse","LIB",68
"386",174,"NC HOUSE (69)",3,2002,"Yes","Frank D. Hill","REP",69
"387",175,"NC HOUSE (69)",3,2002,"Yes","Alan Light","LIB",69
"388",176,"NC HOUSE (69)",3,2002,"Yes","Pryor Gibson","DEM",69
"389",177,"NC HOUSE (7)",1,2002,"No","John D. Hall","DEM",7
"390",178,"NC HOUSE (70)",2,2002,"Yes","Bobby Harold Barbee, Sr.","REP",70
"391",179,"NC HOUSE (70)",2,2002,"Yes","Max Melton","DEM",70
"392",180,"NC HOUSE (71)",3,2002,"Yes","Mac Weatherman","REP",71
"393",181,"NC HOUSE (71)",3,2002,"Yes","Larry Womble","DEM",71
"394",182,"NC HOUSE (71)",3,2002,"Yes","Lynn Haggerty","LIB",71
"395",183,"NC HOUSE (72)",2,2002,"Yes","Earline W. Parmon","DEM",72
"396",184,"NC HOUSE (72)",2,2002,"Yes","Vernon Robinson","REP",72
"397",185,"NC HOUSE (73)",1,2002,"No","Curtis Blackwood","REP",73
"398",186,"NC HOUSE (74)",3,2002,"Yes","Linda P. Johnson","REP",74
"399",187,"NC HOUSE (74)",3,2002,"Yes","Glenn White","DEM",74
"400",188,"NC HOUSE (74)",3,2002,"Yes","Caroline Gellner","LIB",74
"401",189,"NC HOUSE (75)",2,2002,"Yes","Jeff Barnhart","REP",75
"402",190,"NC HOUSE (75)",2,2002,"Yes","Wayne Troutman","DEM",75
"403",191,"NC HOUSE (76)",1,2002,"No","Eugene McCombs","REP",76
"404",192,"NC HOUSE (77)",2,2002,"Yes","Charlotte A. Gardner","REP",77
"405",193,"NC HOUSE (77)",2,2002,"Yes","Lorene T. Coates","DEM",77
"406",194,"NC HOUSE (78)",2,2002,"Yes","Harold J. Brubaker","REP",78
"407",195,"NC HOUSE (78)",2,2002,"Yes","Don Blair","LIB",78
"408",196,"NC HOUSE (79)",2,2002,"Yes","Mike Holland","LIB",79
"409",197,"NC HOUSE (79)",2,2002,"Yes","Julia Craven Howard","REP",79
"410",198,"NC HOUSE (8)",1,2002,"No","Edith D. Warren","DEM",8
"411",199,"NC HOUSE (80)",1,2002,"No","Jerry C. Dockham","REP",80
"412",200,"NC HOUSE (81)",3,2002,"Yes","Stuart Britt","LIB",81
"413",201,"NC HOUSE (81)",3,2002,"Yes","John T. Walser, Jr.","REP",81
"414",202,"NC HOUSE (81)",3,2002,"Yes","L. Hugh Holliman","DEM",81
"415",203,"NC HOUSE (82)",3,2002,"Yes","Jeff Cannon","LIB",82
"416",204,"NC HOUSE (82)",3,2002,"Yes","Dan Hense","DEM",82
"417",205,"NC HOUSE (82)",3,2002,"Yes","Gene Wilson","REP",82
"418",206,"NC HOUSE (83)",3,2002,"Yes","Robert T. Johnston","DEM",83
"419",207,"NC HOUSE (83)",3,2002,"Yes","Pat Kingsbury","LIB",83
"420",208,"NC HOUSE (83)",3,2002,"Yes","R. Tracy Walker","REP",83
"421",209,"NC HOUSE (84)",2,2002,"Yes","Phillip Frye","REP",84
"422",210,"NC HOUSE (84)",2,2002,"Yes","Jeff Young","LIB",84
"423",211,"NC HOUSE (85)",2,2002,"Yes","A. Everette Clark","DEM",85
"424",212,"NC HOUSE (85)",2,2002,"Yes","Mitch Gillespie","REP",85
"425",213,"NC HOUSE (86)",2,2002,"Yes","Earl A. Cook","REP",86
"426",214,"NC HOUSE (86)",2,2002,"Yes","Walt Church","DEM",86
"427",215,"NC HOUSE (87)",2,2002,"Yes","Ray Warren","DEM",87
"428",216,"NC HOUSE (87)",2,2002,"Yes","Edgar V. Starnes","REP",87
"429",217,"NC HOUSE (88)",1,2002,"No","Mark K. Hilton","REP",88
"430",218,"NC HOUSE (89)",2,2002,"Yes","Mitchell S. Setzer","REP",89
"431",219,"NC HOUSE (89)",2,2002,"Yes","Barry Woodfin","LIB",89
"432",220,"NC HOUSE (9)",3,2002,"Yes","Marian N. McLawhorn","DEM",9
"433",221,"NC HOUSE (9)",3,2002,"Yes","Deb Seksay","LIB",9
"434",222,"NC HOUSE (9)",3,2002,"Yes","Judy Eagle","REP",9
"435",223,"NC HOUSE (90)",2,2002,"Yes","Jim Harrell","DEM",90
"436",224,"NC HOUSE (90)",2,2002,"Yes","R. F. (Buck) Golding","REP",90
"437",225,"NC HOUSE (91)",2,2002,"Yes","Rex L. Baker","REP",91
"438",226,"NC HOUSE (91)",2,2002,"Yes","Robert W. Mitchell","DEM",91
"439",227,"NC HOUSE (92)",2,2002,"Yes","George M. Holmes","REP",92
"440",228,"NC HOUSE (92)",2,2002,"Yes","Adam Wilson","LIB",92
"441",229,"NC HOUSE (93)",3,2002,"Yes","Kevin Fortner","LIB",93
"442",230,"NC HOUSE (93)",3,2002,"Yes","William C. (Bill) McGee","REP",93
"443",231,"NC HOUSE (93)",3,2002,"Yes","Becky Johnson","DEM",93
"444",232,"NC HOUSE (94)",2,2002,"Yes","Ed Topolski","LIB",94
"445",233,"NC HOUSE (94)",2,2002,"Yes","Michael (Mike) Decker","REP",94
"446",234,"NC HOUSE (95)",1,2002,"No","Karen Ray","REP",95
"447",235,"NC HOUSE (96)",3,2002,"Yes","Bill McMillan","DEM",96
"448",236,"NC HOUSE (96)",3,2002,"Yes","Frank Mitchell","REP",96
"449",237,"NC HOUSE (96)",3,2002,"Yes","Kyle Klock","LIB",96
"450",238,"NC HOUSE (97)",3,2002,"Yes","Floyd E. Mason","DEM",97
"451",239,"NC HOUSE (97)",3,2002,"Yes","Joe L. Kiser","REP",97
"452",240,"NC HOUSE (97)",3,2002,"Yes","Bryan Edwards","LIB",97
"453",241,"NC HOUSE (98)",2,2002,"Yes","David H. Dunn","DEM",98
"454",242,"NC HOUSE (98)",2,2002,"Yes","John W. Rhodes","REP",98
"455",243,"NC HOUSE (99)",1,2002,"No","Drew Saunders","DEM",99
"456",1,"NC STATE HOUSE DISTRICT 1",1,2004,"No","W.C. Bill Owens, Jr.","DEM",1
"457",2,"NC STATE HOUSE DISTRICT 10",2,2004,"Yes","James D. (Lew) Llewellyn","DEM",10
"458",3,"NC STATE HOUSE DISTRICT 10",2,2004,"Yes","Stephen Laroque","REP",10
"459",4,"NC STATE HOUSE DISTRICT 100",1,2004,"No","James B. (Jim) Black","DEM",100
"460",5,"NC STATE HOUSE DISTRICT 101",1,2004,"No","Beverly M. Earle","DEM",101
"461",6,"NC STATE HOUSE DISTRICT 102",1,2004,"No","Becky Carney","DEM",102
"462",7,"NC STATE HOUSE DISTRICT 103",3,2004,"Yes","Jim Gulley","REP",103
"463",8,"NC STATE HOUSE DISTRICT 103",3,2004,"Yes","Sid Sowers","DEM",103
"464",9,"NC STATE HOUSE DISTRICT 103",3,2004,"Yes","Stephen Burr","LIB",103
"465",10,"NC STATE HOUSE DISTRICT 104",1,2004,"No","Ed McMahan","REP",104
"466",11,"NC STATE HOUSE DISTRICT 105",1,2004,"No","Doug Vinson","REP",105
"467",12,"NC STATE HOUSE DISTRICT 106",1,2004,"No","Martha Alexander","DEM",106
"468",13,"NC STATE HOUSE DISTRICT 107",2,2004,"Yes","Kenny Houck","REP",107
"469",14,"NC STATE HOUSE DISTRICT 107",2,2004,"Yes","W. Pete Cunningham","DEM",107
"470",15,"NC STATE HOUSE DISTRICT 108",2,2004,"Yes","John Melvin Rayfield","REP",108
"471",16,"NC STATE HOUSE DISTRICT 108",2,2004,"Yes","William F. Manning, Sr.","DEM",108
"472",17,"NC STATE HOUSE DISTRICT 109",2,2004,"Yes","William A. Current, Sr.","REP",109
"473",18,"NC STATE HOUSE DISTRICT 109",2,2004,"Yes","Shirley M. Wiggins","DEM",109
"474",19,"NC STATE HOUSE DISTRICT 11",1,2004,"No","Louis M. Pate, Jr.","REP",11
"475",20,"NC STATE HOUSE DISTRICT 110",2,2004,"Yes","Jim Long","DEM",110
"476",21,"NC STATE HOUSE DISTRICT 110",2,2004,"Yes","Debbie Ann Clary","REP",110
"477",22,"NC STATE HOUSE DISTRICT 111",2,2004,"Yes","Kathryn H. Hamrick","DEM",111
"478",23,"NC STATE HOUSE DISTRICT 111",2,2004,"Yes","Tim Moore","REP",111
"479",24,"NC STATE HOUSE DISTRICT 112",3,2004,"Yes","Ralph Haulk","LIB",112
"480",25,"NC STATE HOUSE DISTRICT 112",3,2004,"Yes","Bob England","DEM",112
"481",26,"NC STATE HOUSE DISTRICT 112",3,2004,"Yes","Mike Hager","REP",112
"482",27,"NC STATE HOUSE DISTRICT 113",1,2004,"No","Trudi Walend","REP",113
"483",28,"NC STATE HOUSE DISTRICT 114",2,2004,"Yes","Susan Fisher","DEM",114
"484",29,"NC STATE HOUSE DISTRICT 114",2,2004,"Yes","Bill Porter","REP",114
"485",30,"NC STATE HOUSE DISTRICT 115",3,2004,"Yes","Robert Parker","LIB",115
"486",31,"NC STATE HOUSE DISTRICT 115",3,2004,"Yes","Barbara Boyd","REP",115
"487",32,"NC STATE HOUSE DISTRICT 115",3,2004,"Yes","D. Bruce Goforth","DEM",115
"488",33,"NC STATE HOUSE DISTRICT 116",2,2004,"Yes","Doug Jones","DEM",116
"489",34,"NC STATE HOUSE DISTRICT 116",2,2004,"Yes","Wilma M. Sherrill","REP",116
"490",35,"NC STATE HOUSE DISTRICT 117",2,2004,"Yes","Carolyn K. Justus","REP",117
"491",36,"NC STATE HOUSE DISTRICT 117",2,2004,"Yes","Wayne Bastedo","DEM",117
"492",37,"NC STATE HOUSE DISTRICT 118",1,2004,"No","Ray Rapp","DEM",118
"493",38,"NC STATE HOUSE DISTRICT 119",2,2004,"Yes","Margaret (Marge) Carpenter","REP",119
"494",39,"NC STATE HOUSE DISTRICT 119",2,2004,"Yes","Phil Haire","DEM",119
"495",40,"NC STATE HOUSE DISTRICT 12",2,2004,"Yes","William L. Wainwright","DEM",12
"496",41,"NC STATE HOUSE DISTRICT 12",2,2004,"Yes","John Percy Wetherington, Jr.","REP",12
"497",42,"NC STATE HOUSE DISTRICT 120",1,2004,"No","Roger West","REP",120
"498",43,"NC STATE HOUSE DISTRICT 13",2,2004,"Yes","Malcolm Fulcher","DEM",13
"499",44,"NC STATE HOUSE DISTRICT 13",2,2004,"Yes","Jean R. Preston","REP",13
"500",45,"NC STATE HOUSE DISTRICT 14",2,2004,"Yes","George G. Cleveland","REP",14
"501",46,"NC STATE HOUSE DISTRICT 14",2,2004,"Yes","Kever M. Clark","DEM",14
"502",47,"NC STATE HOUSE DISTRICT 15",1,2004,"No","Robert Grady","REP",15
"503",48,"NC STATE HOUSE DISTRICT 16",1,2004,"No","Carolyn Justice","REP",16
"504",49,"NC STATE HOUSE DISTRICT 17",3,2004,"Yes","Edward Gore","LIB",17
"505",50,"NC STATE HOUSE DISTRICT 17",3,2004,"Yes","E. David Redwine","DEM",17
"506",51,"NC STATE HOUSE DISTRICT 17",3,2004,"Yes","Bonner Stiller","REP",17
"507",52,"NC STATE HOUSE DISTRICT 18",2,2004,"Yes","Frankie Roberts","REP",18
"508",53,"NC STATE HOUSE DISTRICT 18",2,2004,"Yes","Thomas E. Wright","DEM",18
"509",54,"NC STATE HOUSE DISTRICT 19",1,2004,"No","Danny McComas","REP",19
"510",55,"NC STATE HOUSE DISTRICT 2",2,2004,"Yes","Bill Culpepper","DEM",2
"511",56,"NC STATE HOUSE DISTRICT 2",2,2004,"Yes","Daniel M. Beall","REP",2
"512",57,"NC STATE HOUSE DISTRICT 20",1,2004,"No","Dewey L. Hill","DEM",20
"513",58,"NC STATE HOUSE DISTRICT 21",1,2004,"No","Larry M. Bell","DEM",21
"514",59,"NC STATE HOUSE DISTRICT 22",1,2004,"No","Edd Nye","DEM",22
"515",60,"NC STATE HOUSE DISTRICT 23",2,2004,"Yes","Henry Williams II","REP",23
"516",61,"NC STATE HOUSE DISTRICT 23",2,2004,"Yes","Joe Tolson","DEM",23
"517",62,"NC STATE HOUSE DISTRICT 24",1,2004,"No","Jean Farmer Butterfield","DEM",24
"518",63,"NC STATE HOUSE DISTRICT 25",1,2004,"No","Bill Daughtridge","REP",25
"519",64,"NC STATE HOUSE DISTRICT 26",1,2004,"No","Leo Daughtry","REP",26
"520",65,"NC STATE HOUSE DISTRICT 27",1,2004,"No","Michael H. Wray","DEM",27
"521",66,"NC STATE HOUSE DISTRICT 28",1,2004,"No","James H. Langdon, Jr","REP",28
"522",67,"NC STATE HOUSE DISTRICT 29",1,2004,"No","Paul Miller","DEM",29
"523",68,"NC STATE HOUSE DISTRICT 3",3,2004,"Yes","Michael Speciale","REP",3
"524",69,"NC STATE HOUSE DISTRICT 3",3,2004,"Yes","Alice Graham Underhill","DEM",3
"525",70,"NC STATE HOUSE DISTRICT 3",3,2004,"Yes","Herbert M. Sobel","LIB",3
"526",71,"NC STATE HOUSE DISTRICT 30",2,2004,"Yes","Sean Haugh","LIB",30
"527",72,"NC STATE HOUSE DISTRICT 30",2,2004,"Yes","Paul Luebke","DEM",30
"528",73,"NC STATE HOUSE DISTRICT 31",2,2004,"Yes","Michael P. Owen","LIB",31
"529",74,"NC STATE HOUSE DISTRICT 31",2,2004,"Yes","H.M. Mickey Michaux","DEM",31
"530",75,"NC STATE HOUSE DISTRICT 32",2,2004,"Yes","Jim Crawford","DEM",32
"531",76,"NC STATE HOUSE DISTRICT 32",2,2004,"Yes","Tom Howe","LIB",32
"532",77,"NC STATE HOUSE DISTRICT 33",2,2004,"Yes","Steven Hilton","LIB",33
"533",78,"NC STATE HOUSE DISTRICT 33",2,2004,"Yes","Bernard Allen","DEM",33
"534",79,"NC STATE HOUSE DISTRICT 34",2,2004,"Yes","Don Munford","REP",34
"535",80,"NC STATE HOUSE DISTRICT 34",2,2004,"Yes","Grier Martin","DEM",34
"536",81,"NC STATE HOUSE DISTRICT 35",2,2004,"Yes","Graham Yarko Thomas","LIB",35
"537",82,"NC STATE HOUSE DISTRICT 35",2,2004,"Yes","Jennifer Weiss","DEM",35
"538",83,"NC STATE HOUSE DISTRICT 36",2,2004,"Yes","Nelson Dollar","REP",36
"539",84,"NC STATE HOUSE DISTRICT 36",2,2004,"Yes","Gary Goodson","LIB",36
"540",85,"NC STATE HOUSE DISTRICT 37",2,2004,"Yes","H. Wade Minter","LIB",37
"541",86,"NC STATE HOUSE DISTRICT 37",2,2004,"Yes","Paul Stam","REP",37
"542",87,"NC STATE HOUSE DISTRICT 38",2,2004,"Yes","Deborah K. Ross","DEM",38
"543",88,"NC STATE HOUSE DISTRICT 38",2,2004,"Yes","Phil Jeffreys","REP",38
"544",89,"NC STATE HOUSE DISTRICT 39",2,2004,"Yes","Sam Ellis","REP",39
"545",90,"NC STATE HOUSE DISTRICT 39",2,2004,"Yes","Linda Coleman","DEM",39
"546",91,"NC STATE HOUSE DISTRICT 4",1,2004,"No","Russell E. Tucker","DEM",4
"547",92,"NC STATE HOUSE DISTRICT 40",3,2004,"Yes","Andrew Hatchell","LIB",40
"548",93,"NC STATE HOUSE DISTRICT 40",3,2004,"Yes","Rick Eddins","REP",40
"549",94,"NC STATE HOUSE DISTRICT 40",3,2004,"Yes","Joe O'Shaughnessy","DEM",40
"550",95,"NC STATE HOUSE DISTRICT 41",1,2004,"No","J. Russell Capps","REP",41
"551",96,"NC STATE HOUSE DISTRICT 42",2,2004,"Yes","Bob White","REP",42
"552",97,"NC STATE HOUSE DISTRICT 42",2,2004,"Yes","Marvin W. Lucas","DEM",42
"553",98,"NC STATE HOUSE DISTRICT 43",1,2004,"No","Mary McAllister","DEM",43
"554",99,"NC STATE HOUSE DISTRICT 44",2,2004,"Yes","Margaret Highsmith Dickson","DEM",44
"555",100,"NC STATE HOUSE DISTRICT 44",2,2004,"Yes","Ralph Reagan","REP",44
"556",101,"NC STATE HOUSE DISTRICT 45",2,2004,"Yes","Robert T. Lawrence","REP",45
"557",102,"NC STATE HOUSE DISTRICT 45",2,2004,"Yes","Rick Glazier","DEM",45
"558",103,"NC STATE HOUSE DISTRICT 46",1,2004,"No","Douglas Y. Yongue","DEM",46
"559",104,"NC STATE HOUSE DISTRICT 47",1,2004,"No","Ronnie Sutton","DEM",47
"560",105,"NC STATE HOUSE DISTRICT 48",1,2004,"No","Garland E. Pierce","DEM",48
"561",106,"NC STATE HOUSE DISTRICT 49",2,2004,"Yes","Renee' McCormick","REP",49
"562",107,"NC STATE HOUSE DISTRICT 49",2,2004,"Yes","Lucy T. Allen","DEM",49
"563",108,"NC STATE HOUSE DISTRICT 5",2,2004,"Yes","Larry Cooke, Jr.","LIB",5
"564",109,"NC STATE HOUSE DISTRICT 5",2,2004,"Yes","Howard Hunter, Jr.","DEM",5
"565",110,"NC STATE HOUSE DISTRICT 50",1,2004,"No","Bill Faison","DEM",50
"566",111,"NC STATE HOUSE DISTRICT 51",2,2004,"Yes","John Sauls","REP",51
"567",112,"NC STATE HOUSE DISTRICT 51",2,2004,"Yes","Leslie Cox","DEM",51
"568",113,"NC STATE HOUSE DISTRICT 52",1,2004,"No","Richard T. Morgan","REP",52
"569",114,"NC STATE HOUSE DISTRICT 53",2,2004,"Yes","Louise Taylor","DEM",53
"570",115,"NC STATE HOUSE DISTRICT 53",2,2004,"Yes","David Lewis","REP",53
"571",116,"NC STATE HOUSE DISTRICT 54",1,2004,"No","Joe Hackney","DEM",54
"572",117,"NC STATE HOUSE DISTRICT 55",2,2004,"Yes","Tom Rose","LIB",55
"573",118,"NC STATE HOUSE DISTRICT 55",2,2004,"Yes","W.A. (Winkie) Wilkins","DEM",55
"574",119,"NC STATE HOUSE DISTRICT 56",1,2004,"No","Verla Insko","DEM",56
"575",120,"NC STATE HOUSE DISTRICT 57",2,2004,"Yes","Mary (Pricey) Harrison","DEM",57
"576",121,"NC STATE HOUSE DISTRICT 57",2,2004,"Yes","Joanne W. Bowie","REP",57
"577",122,"NC STATE HOUSE DISTRICT 58",3,2004,"Yes","Walter J. Sperko","LIB",58
"578",123,"NC STATE HOUSE DISTRICT 58",3,2004,"Yes","Olga Morgan Wright","REP",58
"579",124,"NC STATE HOUSE DISTRICT 58",3,2004,"Yes","Alma Adams","DEM",58
"580",125,"NC STATE HOUSE DISTRICT 59",3,2004,"Yes","Maggie Jeffus","DEM",59
"581",126,"NC STATE HOUSE DISTRICT 59",3,2004,"Yes","Allison N. Jaynes","LIB",59
"582",127,"NC STATE HOUSE DISTRICT 59",3,2004,"Yes","Jim Rumley","REP",59
"583",128,"NC STATE HOUSE DISTRICT 6",2,2004,"Yes","Al Klemm","REP",6
"584",129,"NC STATE HOUSE DISTRICT 6",2,2004,"Yes","Arthur J. Williams III","DEM",6
"585",130,"NC STATE HOUSE DISTRICT 60",1,2004,"No","Earl Jones","DEM",60
"586",131,"NC STATE HOUSE DISTRICT 61",1,2004,"No","Laura I. Wiley","REP",61
"587",132,"NC STATE HOUSE DISTRICT 62",1,2004,"No","John Blust","REP",62
"588",133,"NC STATE HOUSE DISTRICT 63",2,2004,"Yes","Alice Bordsen","DEM",63
"589",134,"NC STATE HOUSE DISTRICT 63",2,2004,"Yes","Jerry Rudd","REP",63
"590",135,"NC STATE HOUSE DISTRICT 64",1,2004,"No","Cary D. Allred","REP",64
"591",136,"NC STATE HOUSE DISTRICT 65",2,2004,"Yes","Nelson Cole","DEM",65
"592",137,"NC STATE HOUSE DISTRICT 65",2,2004,"Yes","Wayne Sexton","REP",65
"593",138,"NC STATE HOUSE DISTRICT 66",2,2004,"Yes","Edward J. O'Neal (Write-In)","UNA",66
"594",139,"NC STATE HOUSE DISTRICT 66",2,2004,"Yes","Melanie Wade Goodwin","DEM",66
"595",140,"NC STATE HOUSE DISTRICT 67",2,2004,"Yes","David Almond","REP",67
"596",141,"NC STATE HOUSE DISTRICT 67",2,2004,"Yes","June Mabry","DEM",67
"597",142,"NC STATE HOUSE DISTRICT 68",1,2004,"No","Curtis Blackwood","REP",68
"598",143,"NC STATE HOUSE DISTRICT 69",2,2004,"Yes","Pryor Gibson","DEM",69
"599",144,"NC STATE HOUSE DISTRICT 69",2,2004,"Yes","Hilda L. Morton","REP",69
"600",145,"NC STATE HOUSE DISTRICT 7",1,2004,"No","John D. Hall","DEM",7
"601",146,"NC STATE HOUSE DISTRICT 70",2,2004,"Yes","Douglas Kania","LIB",70
"602",147,"NC STATE HOUSE DISTRICT 70",2,2004,"Yes","Arlie F. Culp","REP",70
"603",148,"NC STATE HOUSE DISTRICT 71",2,2004,"Yes","Larry W. Womble","DEM",71
"604",149,"NC STATE HOUSE DISTRICT 71",2,2004,"Yes","Lynn Haggerty","LIB",71
"605",150,"NC STATE HOUSE DISTRICT 72",1,2004,"No","Earline W. Parmon","DEM",72
"606",151,"NC STATE HOUSE DISTRICT 73",2,2004,"Yes","Michael Smith","LIB",73
"607",152,"NC STATE HOUSE DISTRICT 73",2,2004,"Yes","Larry R. Brown","REP",73
"608",153,"NC STATE HOUSE DISTRICT 74",2,2004,"Yes","Tom Brandon","DEM",74
"609",154,"NC STATE HOUSE DISTRICT 74",2,2004,"Yes","Dale R. Folwell","REP",74
"610",155,"NC STATE HOUSE DISTRICT 75",1,2004,"No","William C. (Bill) McGee","REP",75
